occurrence_no,identified_name,identified_rank,identified_no,accepted_name,accepted_attr,accepted_rank,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
130209,n. gen. Chaoyangosaurus n. sp. liaosiensis,species,65704,Chaoyangsaurus youngi,,species,Late Tithonian,Valanginian,150.8,132.9,13360,123.966698,42.9333
130294,n. gen. Protarchaeopteryx n. sp. robusta,species,66068,Protarchaeopteryx robusta,,species,Late Barremian,Early Aptian,130,122.46,4006,120.73333,41.799999
130295,n. gen. Caudipteryx n. sp. zoui,species,66066,Caudipteryx zoui,,species,Late Barremian,Early Aptian,130,122.46,19421,120.73333,41.799999
137486,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Middle Campanian,Late Campanian,83.5,70.6,59136,99.599998,43.299999
138867,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Berriasian,Aptian,145,113,4203,34.726665,30.538889
139242,Gorgosaurus n. sp. sternbergi,species,63900,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,13165,-111.528732,50.740726
139249,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,16964,-111.461914,50.753296
139250,Gorgosaurus libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,4205,-111.549347,50.737015
139251,Centrosaurus apertus,species,63911,Centrosaurus apertus,,species,Late Campanian,,83.5,70.6,16964,-111.528931,50.737297
139252,Gorgosaurus libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,4205,-111.564636,50.723866
139253,Gorgosaurus libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,4205,-111.525337,50.740471
139254,n. gen. Gorgosaurus n. sp. libratus,species,53194,Gorgosaurus libratus,,species,Late Campanian,,83.5,70.6,17547,-111.601021,50.786999
139255,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Late Maastrichtian,,70.6,66,9259,-112.981903,51.8046
139256,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,4205,-112.981903,51.819099
139257,Albertosaurus n. sp. arctunguis,species,63710,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,12347,-112.818901,51.542702
139258,n. gen. Albertosaurus n. sp. sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,9259,-112.8423,51.469898
139259,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,4205,-112.702202,51.4408
139260,Titanosaurus n. sp. colberti,species,64311,Isisaurus colberti,,species,Maastrichtian,,72.1,66,4177,80.366669,21.183332
139261,Daspletosaurus torosus,species,57258,Daspletosaurus torosus,,species,Late Campanian,,83.5,70.6,4205,-110.681999,49.083698
139262,Theropoda indet.,unranked clade,94209,Theropoda,,unranked clade,Late Campanian,,83.5,70.6,62883,-111.511902,50.742401
139290,n. gen. Daspletosaurus n. sp. torosus,species,57258,Daspletosaurus torosus,,species,Middle Campanian,,83.5,70.6,4205,-111.485008,50.751526
139291,Albertosaurus sarcophagus,species,56319,Albertosaurus sarcophagus,,species,Early Maastrichtian,,70.6,66,76179,-112.934799,51.928299
139292,Tyrannosaurus rex,species,54833,Tyrannosaurus rex,,species,Late Maastrichtian,,70.6,66,4218,-113.0289,51.906399
139293,cf. Tyrannosaurus rex,species,54833,Tyrannosaurus rex,,species,Late Maastrichtian,,70.6,66,4205,-113.23333,51.933334
139294,Gryposaurus cf. notabilis,species,63251,Gryposaurus notabilis,,species,Late Campanian,,83.5,70.6,59147,-111.529999,50.77
139340,n. gen. Ankylosaurus n. sp. magniventris,species,52793,Ankylosaurus magniventris,,species,Late Maastrichtian,,70.6,66,4210,-106.569901,47.637699
139341,Pleurocoelus sp.,genus,54170,Titanosauriformes,,unranked clade,Late Aptian,Early Albian,122.46,109,14253,-96.278053,34.18
144305,cf. Saurornitholestes sp.,genus,38567,Saurornitholestes,,genus,Early Maastrichtian,,70.6,66,77788,22.9158,45.547501
144307,Bistahieversor sealeyi,species,163808,Bistahieversor sealeyi,,species,Late Campanian,,83.5,70.6,32137,-107.966393,36.06028
146081,Abelisauridae indet.,family,53942,Abelisauridae,,family,Late Maastrichtian,,70.6,66,76372,-65.940002,-17.687
147092,n. gen. Stenotholus n. sp. kohleri,species,53215,Pachycephalosaurus wyomingensis,,species,Maastrichtian,,72.1,66,4306,-106.227776,47.695831
147093,Hadrosauridae indet.,family,38755,Hadrosauridae,,family,Maastrichtian,,72.1,66,4306,-106.227776,47.695831
148500,n. gen. Sonorasaurus n. sp. thompsoni,species,68170,Sonorasaurus thompsoni,,species,Late Albian,Early Cenomanian,105.3,93.5,14864,-110.418053,31.81139
148510,Vegaviidae indet.,unranked clade,361851,Vegaviidae,,unranked clade,Late Maastrichtian,,70.6,66,63548,-56.75,-64.283333
148628,Mononykus olecranus,species,67288,Mononykus olecranus,,species,Maastrichtian,,72.1,66,4373,99.599998,43.540001
148629,Tarbosaurus bataar,species,57254,Tarbosaurus bataar,,species,Maastrichtian,,72.1,66,4373,99.599998,43.540001
148633,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Cretaceous,,145,66,4374,34.806946,23.380833
149328,Coeluridae ? indet.,family,53001,Coeluridae,,family,Late Maastrichtian,,70.6,66,4381,-106.099998,47.799999
149585,Lithostrotia indet.,unranked clade,71974,Lithostrotia,,unranked clade,Campanian,,83.6,72.1,76304,-65.26667,-24.299999
149586,Carnosauria indet.,infraorder,53943,Carnosauria,,infraorder,Late Maastrichtian,,70.6,66,55175,-65.26667,-24.299999
149611,Hadrosauroidea indet.,unranked clade,184951,Hadrosauroidea,,unranked clade,Late Maastrichtian,,70.6,66,56054,0.948611,43.142776
149854,Ornithopoda indet.,unranked clade,38713,Ornithopoda,,unranked clade,Late Barremian,Early Aptian,130,122.46,4397,-1.381643,50.62413
149859,Theropoda indet.,unranked clade,38513,Theropoda,,unranked clade,Late Barremian,Early Aptian,130,122.46,14199,-1.468,50.654499
149860,Hypsilophodon sp.,genus,38736,Hypsilophodon,,genus,Late Barremian,Early Aptian,130,122.46,4398,-1.468,50.654499
149983,Orodromeus makelai,species,64338,Orodromeus makelai,,species,Campanian,,83.6,72.1,7404,-112.182777,47.8125
149984,Maiasaura peeblesorum,species,55574,Maiasaura peeblesorum,,species,Campanian,,83.6,72.1,4406,-112.182777,47.8125
149987,n. gen. Goyocephale n. sp. lattimorei,species,52838,Goyocephale lattimorei,,species,Santonian,Maastrichtian,86.3,66,4408,102.066666,48.583332
149989,n. gen. Tethyshadros n. sp. insularis,species,161198,Tethyshadros insularis,,species,Early Campanian,Middle Campanian,83.5,70.6,31507,13.588611,45.77861
150084,Dinosauria indet.,unranked clade,52775,Dinosauria,,unranked clade,Late Maastrichtian,,70.6,66,4413,-111.254166,39.267223
150138,Ichthyornis cf. dispar,species,54877,Ichthyornis dispar,,species,Early Coniacian,Early Campanian,89.3,70.6,4419,-101,39
150139,Hesperornis sp.,genus,36620,Hesperornis,,genus,Early Coniacian,Early Campanian,89.3,70.6,4419,-101,39
150155,n. gen. Neogaeornis n. sp. wetzeli,species,53321,Neogaeornis wetzeli,,species,Late Maastrichtian,,70.6,66,6052,-73.116669,-36.716667
150156,n. gen. Alexornis n. sp. antecedens,species,53319,Alexornis antecedens,,species,Santonian,,86.3,83.6,4423,-115.73333,30.049999
150157,n. gen. Yacoraitichnus n. sp. avis,species,58867,Yacoraitichnus avis,,species,Late Maastrichtian,,70.6,66,6049,-66,-25.5
150158,n. gen. Patagonichnornis n. sp. venetiorum,species,53322,Patagonichnornis venetiorum,,species,Late Campanian,Early Maastrichtian,83.5,66,6051,-69.466667,-41.349998
150238,Megaloolithus siruguei,species,67202,Megaloolithus siruguei,,species,Early Maastrichtian,,70.6,66,23594,1.078398,42.113537
150239,Titanosauridae indet.,family,38680,Titanosauridae,,family,Maastrichtian,,72.1,66,5968,6.3,43.583332
150240,n. gen. Amargasaurus n. sp. cazaui,species,53962,Amargasaurus cazaui,,species,Barremian,,129.4,125,5970,-70.194786,-39.481979
150241,Telmatosaurus transsylvanicus,species,68154,Telmatosaurus transsylvanicus,,species,Early Maastrichtian,,70.6,66,76545,22.845142,45.603615
150242,Owenodon sp.,genus,163544,Owenodon,,genus,Berriasian,,145,139.8,31500,22.4,46.950001
150246,Theropoda indet.,unranked clade,91970,Theropoda,,unranked clade,Berriasian,,145,139.8,4007,22.4,46.950001
150247,Ankylosauria indet.,unranked clade,38816,Ankylosauria,,unranked clade,Berriasian,,145,139.8,4007,22.4,46.950001
150248,Valdosaurus canaliculatus,species,52886,Valdosaurus canaliculatus,,species,Berriasian,,145,139.8,50241,22.4,46.950001
150249,n. gen. Bihariosaurus n. sp. bauxiticus,species,68174,Iguanodontia,,unranked clade,Berriasian,,145,139.8,14865,22.4,46.950001
