name,regions,habitat,diet,type,start_date,end_date,size,weight,time_period,image_location,tooltip_content,attribution_total_score,test_date,wikiURL,extra_image
Triceratops,North America,Land,Herbivore,Dinosaur,66,68,29.5,18000,Cretaceous,triceratops,"Triceratops (/traɪˈsɛrətɒps/ try-SERR-ə-tops; lit. 'three-horned face') is a genus of herbivorous chasmosaurine ceratopsid dinosaur that first appeared during the late Maastrichtian stage of the Late Cretaceous period, about 68 million years ago in what is now North America. It is one of the last-known non-avian dinosaur genera, and became extinct in the Cretaceous–Paleogene extinction event 66 million years ago. The name Triceratops, which literally means 'three-horned face', is derived from the Greek words trí- (τρί-) meaning 'three', kéras (κέρας) meaning 'horn', and ṓps (ὤψ) meaning 'face'. 
<p>

Bearing a large bony frill, three horns on the skull, and a large four-legged body, exhibiting convergent evolution with rhinoceroses and bovines, Triceratops is one of the most recognizable of all dinosaurs and the most well-known ceratopsid. It was also one of the largest, up to 8–9 metres (26–30 ft) long and 5–9 metric tons (5.5–9.9 short tons) in body mass. It shared the landscape with and was most likely preyed upon by Tyrannosaurus, though it is less certain that two adults did battle in the fanciful manner often depicted in museum displays and popular images. The functions of the frills and three distinctive facial horns on its head have long inspired debate. Traditionally, these have been viewed as defensive weapons against predators. More recent interpretations find it probable that these features were primarily used in species identification, courtship, and dominance display, much like the antlers and horns of modern ungulates. 
<p>

Triceratops was traditionally placed within the ""short-frilled"" ceratopsids, but modern cladistic studies show it to be a member of the Chasmosaurinae which usually have long frills. Two species, T. horridus and T. prorsus, are considered valid today, from the seventeen species that have ever been named. Research published in 2010 concluded that the contemporaneous Torosaurus, a ceratopsid long regarded as a separate genus, represents Triceratops in its mature form. This view has been disputed; further data is needed to settle the debate. ",14,68,https://en.wikipedia.org/wiki/Triceratops,yes
Tyrannosaurus,North America,Land,Carnivore,Dinosaur,66,68,40,13000,Cretaceous,trexskull,"Tyrannosaurus is a genus of large theropod dinosaur. The species Tyrannosaurus rex (rex meaning ""king"" in Latin), often called T. rex or colloquially T-Rex, is one of the best represented theropods. Tyrannosaurus lived throughout what is now western North America, on what was then an island continent known as Laramidia. Tyrannosaurus had a much wider range than other tyrannosaurids. Fossils are found in a variety of rock formations dating to the Maastrichtian age of the Upper Cretaceous period, 68 to 66 million years ago. It was the last known member of the tyrannosaurids and among the last non-avian dinosaurs to exist before the Cretaceous–Paleogene extinction event.
<p>

Like other tyrannosaurids, Tyrannosaurus was a bipedal carnivore with a massive skull balanced by a long, heavy tail. Relative to its large and powerful hind limbs, the forelimbs of Tyrannosaurus were short but unusually powerful for their size, and they had two clawed digits. The most complete specimen measures up to 12.3–12.4 m (40.4–40.7 ft) in length; however, according to most modern estimates, T. rex could grow to lengths of over 12.4 m (40.7 ft), up to 3.66–3.96 m (12–13 ft) tall at the hips, and 8.87 metric tons (9.78 short tons) in body mass. Although other theropods rivaled or exceeded Tyrannosaurus rex in size, it is still among the largest known land predators and is estimated to have exerted the strongest bite force among all terrestrial animals. By far the largest carnivore in its environment, Tyrannosaurus rex was most likely an apex predator, preying upon hadrosaurs, juvenile armored herbivores like ceratopsians and ankylosaurs, and possibly sauropods. Some experts have suggested the dinosaur was primarily a scavenger. The question of whether Tyrannosaurus was an apex predator or a pure scavenger was among the longest debates in paleontology. Most paleontologists today accept that Tyrannosaurus was both an active predator and a scavenger.
<p>

Specimens of Tyrannosaurus rex include some that are nearly complete skeletons. Soft tissue and proteins have been reported in at least one of these specimens. The abundance of fossil material has allowed significant research into many aspects of its biology, including its life history and biomechanics. The feeding habits, physiology, and potential speed of Tyrannosaurus rex are a few subjects of debate. Its taxonomy is also controversial, as some scientists consider Tarbosaurus bataar from Asia to be a second Tyrannosaurus species, while others maintain Tarbosaurus is a separate genus. Several other genera of North American tyrannosaurids have also been synonymized with Tyrannosaurus. As the archetypal theropod, Tyrannosaurus has been one of the best-known dinosaurs since the early 20th century and has been featured in film, advertising, postal stamps, and many other media.
",15,67,https://en.wikipedia.org/wiki/Tyrannosaurus,no
Stegosaurus,North America,Land,Herbivore,Dinosaur,155,145,29.5,13000,Jurassic,stegosaurus,"Stegosaurus (/ˌstɛɡəˈsɔːrəs/; lit. 'roof-lizard') is a genus of herbivorous, four-legged, armored dinosaur from the Late Jurassic, characterized by the distinctive kite-shaped upright plates along their backs and spikes on their tails. Fossils of the genus have been found in the western United States and in Portugal, where they are found in Kimmeridgian- to early Tithonian-aged strata, dating to between 155 and 145 million years ago. Of the species that have been classified in the upper Morrison Formation of the western US, only three are universally recognized: S. stenops, S. ungulatus and S. sulcatus. The remains of over 80 individual animals of this genus have been found. Stegosaurus would have lived alongside dinosaurs such as Apatosaurus, Diplodocus, Brachiosaurus, Ceratosaurus, and Allosaurus; the latter two may have preyed on it.
<p>

They were large, heavily built, herbivorous quadrupeds with rounded backs, short fore limbs, long hind limbs, and tails held high in the air. Due to their distinctive combination of broad, upright plates and tail tipped with spikes, Stegosaurus is one of the most recognizable kinds of dinosaurs. The function of this array of plates and spikes has been the subject of much speculation among scientists. Today, it is generally agreed that their spiked tails were most likely used for defense against predators, while their plates may have been used primarily for display, and secondarily for thermoregulatory functions. Stegosaurus had a relatively low brain-to-body mass ratio. It had a short neck and a small head, meaning it most likely ate low-lying bushes and shrubs. One species, Stegosaurus ungulatus, is one of the largest known of all the stegosaurians, reaching 7 metres (23 ft) in length and 3.8 metric tons (4.2 short tons) in body mass, and some specimens indicate an even larger body size.
<p>

Stegosaurus remains were first identified during the ""Bone Wars"" by Othniel Charles Marsh at Dinosaur Ridge National Landmark. The first known skeletons were fragmentary and the bones were scattered, and it would be many years before the true appearance of these animals, including their posture and plate arrangement, became well understood. Despite its popularity in books and film, mounted skeletons of Stegosaurus did not become a staple of major natural history museums until the mid-20th century, and many museums have had to assemble composite displays from several different specimens due to a lack of complete skeletons. Stegosaurus is one of the better-known dinosaurs, and has been featured in film, postal stamps, and many other types of media.
",12,155,https://en.wikipedia.org/wiki/Stegosaurus,no
Diplodocus,North America,Land,Herbivore,Dinosaur,152,154,108,34000,Jurassic,herbivore,"Diplodocus (/dɪˈplɒdəkəs/, /daɪˈplɒdəkəs/, or /ˌdɪploʊˈdoʊkəs/) is a genus of diplodocid sauropod dinosaurs, whose fossils were first discovered in 1877 by S. W. Williston. The generic name, coined by Othniel Charles Marsh in 1878, is a neo-Latin term derived from Greek διπλός (diplos) ""double"" and δοκός (dokos) ""beam"", in reference to the double-beamed chevron bones located in the underside of the tail, which were then considered unique. 
<p>

The genus of dinosaurs lived in what is now mid-western North America, at the end of the Jurassic period. It is one of the more common dinosaur fossils found in the middle to upper Morrison Formation, between about 154 and 152 million years ago, during the late Kimmeridgian Age.[6] The Morrison Formation records an environment and time dominated by gigantic sauropod dinosaurs, such as Apatosaurus, Barosaurus, Brachiosaurus, Brontosaurus, and Camarasaurus.[7] Its great size may have been a deterrent to the predators Allosaurus and Ceratosaurus: their remains have been found in the same strata, which suggests that they coexisted with Diplodocus. 
<p>

Diplodocus is among the most easily identifiable dinosaurs, with its typical sauropod shape, long neck and tail, and four sturdy legs. For many years, it was the longest dinosaur known. ",10,152,https://en.wikipedia.org/wiki/Diplodocus,no
Ankylosaurus,North America,Land,Herbivore,Dinosaur,66,68,23,16000,Cretaceous,armored,"Ankylosaurus is a genus of armored dinosaur. Its fossils have been found in geological formations dating to the very end of the Cretaceous Period, about 68–66 million years ago, in western North America, making it among the last of the non-avian dinosaurs. It was named by Barnum Brown in 1908; it is monotypic, containing only A. magniventris. The generic name means ""fused lizard"", and the specific name means ""great belly"". A handful of specimens have been excavated to date, but a complete skeleton has not been discovered. Though other members of Ankylosauria are represented by more extensive fossil material, Ankylosaurus is often considered the archetypal member of its group, despite having some unusual features. 
<p>

Possibly the largest-known ankylosaurid, Ankylosaurus is estimated to have been between 6 and 8 meters (20 and 26 ft) long and to have weighed between 4.8 and 8 metric tons (5.3 and 8.8 short tons). It was quadrupedal, with a broad, robust body. It had a wide, low skull, with two horns pointing backward from the back of the head, and two horns below these that pointed backward and down. Unlike other ankylosaurs, its nostrils faced sideways rather than towards the front. The front part of the jaws was covered in a beak, with rows of small, leaf-shaped teeth farther behind it. It was covered in armor plates, or osteoderms, with bony half-rings covering the neck, and had a large club on the end of its tail. Bones in the skull and other parts of the body were fused, increasing their strength, and this feature is the source of the genus name. 
<p>

    Ankylosaurus is a member of the family Ankylosauridae, and its closest relatives appear to be Anodontosaurus and Euoplocephalus. Ankylosaurus is thought to have been a slow-moving animal, able to make quick movements when necessary. Its broad muzzle indicates it was a non-selective browser. Sinuses and nasal chambers in the snout may have been for heat and water balance or may have played a role in vocalization. The tail club is thought to have been used in defense against predators or in intraspecific combat. Specimens of Ankylosaurus have been found in the Hell Creek, Lance, Scollard, Frenchman, and Ferris formations, but appears to have been rare in its environment. Although it lived alongside a nodosaurid ankylosaur, their ranges and ecological niches do not appear to have overlapped, and Ankylosaurus may have inhabited upland areas. Ankylosaurus also lived alongside dinosaurs such as Tyrannosaurus, Triceratops, and Edmontosaurus. ",15,67,https://en.wikipedia.org/wiki/Ankylosaurus,no
Giganotosaurus,South America,Land,Carnivore,Dinosaur,95,100,43,17600,Cretaceous,giganotosaurus,"Giganotosaurus (/ˌdʒaɪɡəˌnoʊtəˈsɔːrəs/ JY-gə-NOH-tə-SOR-əs) is a genus of theropod dinosaur that lived in what is now Argentina, during the early Cenomanian age of the Late Cretaceous period, approximately 99.6 to 95 million years ago. The holotype specimen was discovered in the Candeleros Formation of Patagonia in 1993 and is almost 70% complete. The animal was named Giganotosaurus carolinii in 1995; the genus name translates to ""giant southern lizard"", and the specific name honors the discoverer, Rubén D. Carolini. A dentary bone, a tooth, and some tracks, discovered before the holotype, were later assigned to this animal. The genus attracted much interest and became part of a scientific debate about the maximum sizes of theropod dinosaurs. 
<p>

Giganotosaurus was one of the largest known terrestrial carnivores, but the exact size has been hard to determine due to the incompleteness of the remains found so far. Estimates for the most complete specimen range from a length of 12 to 13 m (39 to 43 ft), a skull 1.53 to 1.80 m (5.0 to 5.9 ft) in length, and a weight of 4.2 to 13.8 t (4.6 to 15.2 short tons). The dentary bone that belonged to a supposedly larger individual has been used to extrapolate a length of 13.2 m (43 ft). Some researchers have found the animal to be larger than Tyrannosaurus, which has historically been considered the largest theropod, while others have found them to be roughly equal in size and the largest size estimates for Giganotosaurus exaggerated. The skull was low, with rugose (rough and wrinkled) nasal bones and a ridge-like crest on the lacrimal bone in front of the eye. The front of the lower jaw was flattened and had a downward-projecting process (or ""chin"") at the tip. The teeth were compressed sideways and had serrations. The neck was strong and the pectoral girdle proportionally small. 
<p>

Part of the family Carcharodontosauridae, Giganotosaurus is one of the most completely known members of the group, which includes other very large theropods, such as the closely related Mapusaurus and Carcharodontosaurus. Giganotosaurus is thought to have been homeothermic (a type of ""warm-bloodedness""), with a metabolism between that of a mammal and a reptile, which would have enabled fast growth. It would have been capable of closing its jaws quickly, capturing and bringing down prey by delivering powerful bites. The ""chin"" may have helped in resisting stress when a bite was delivered against prey. Giganotosaurus is thought to have been the apex predator of its ecosystem, and it may have fed on juvenile sauropod dinosaurs. ",12,100,https://en.wikipedia.org/wiki/Giganotosaurus,no
Argentinosaurus,South America,Land,Herbivore,Dinosaur,92,96,115,176000,Cretaceous,argentinosaurus,"Argentinosaurus is a genus of giant sauropod dinosaur that lived during the Late Cretaceous period in what is now Argentina. Although it is only known from fragmentary remains, Argentinosaurus is one of the largest known land animals of all time, perhaps the largest, reaching 30–35 metres (98–115 ft) in length and 60–75 tonnes (66–83 short tons) in body mass. It was a member of Titanosauria, the dominant group of sauropods during the Cretaceous. 
<p>

The first Argentinosaurus bone was discovered in 1987 by a farmer on his farm near the city of Plaza Huincul. A scientific excavation of the site led by the Argentine palaeontologist José Bonaparte was conducted in 1989, yielding several back vertebrae and parts of a sacrum—fused vertebrae between the back and tail vertebrae. Additional specimens include a complete femur (thigh bone) and the shaft of another. Argentinosaurus was named by Bonaparte and the Argentine palaeontologist Rodolfo Coria in 1993; the genus contains a single species, A. huinculensis. The generic name Argentinosaurus means ""Argentine lizard"", and the specific name huinculensis refers to its place of discovery, Plaza Huincul. 
<p>

The fragmentary nature of Argentinosaurus remains makes their interpretation difficult. Arguments revolve around the position of the recovered vertebrae within the vertebral column and the presence of accessory articulations between the vertebrae that would have strengthened the spine. A computer model of the skeleton and muscles estimated this dinosaur had a maximum speed of 7 km/h (5 mph) with a pace, a gait where the fore and hind limb of the same side of the body move simultaneously. The fossils of Argentinosaurus were recovered from the Huincul Formation, which was deposited in the middle Cenomanian to early Turonian ages (about 96 to 92 million years ago) and contains a diverse dinosaur fauna including the giant theropod Mapusaurus. ",14,92,https://en.wikipedia.org/wiki/Argentinosaurus,no
Ophthalmosaurus,Eurasia,Water,Carnivore,Marine Reptile,157,165,20,2000,Jurassic,ophthalmosaurus,"Ophthalmosaurus (meaning ""eye lizard"" in Greek) is an ichthyosaur of the Jurassic period (165–150 million years ago). Possible remains from the Cretaceous, around 145 million years ago, are also known. Named for its extremely large eyes, it had a 6 metres (20 ft) long dolphin-shaped body with jaws containing many small but robust teeth. Major fossil finds of this genus have been recorded in Europe with a second species possibly being found in North America. 
<p>

Ophthalmosaurus was a medium sized ichthyosaur with a robust, streamlined body that was nearly as wide as it was tall in frontal view. Like other derived ichthyosaurs Ophthalmosaurus had a powerful tail ending in a pronounced bi-lobed caudal fluke whose lower half was formed around the caudal spine whereas the upper lobe was made up entirely from soft tissue. The limbs of Ophthalmosaurus were short and rounded with the forelimbs being noticeably larger than the hind limbs. The combination of rather inflexible trunk, powerful caudal fluke and reduced limbs suggests a tail-propelled mode of locomotion with the limbs helping with steering, differing from the anguilliform (eel-like) way more basal ichthyosaurs swam. The skull of Ophthalmosaurus was long with a slender, toothed rostrum and an enlarged posterior portion of the cranium. The dentition was relatively small with robust tooth crowns and the lateral area of the cranium was almost entirely occupied by the animal's massive eyes that gave the genus its name. The proportionally large eyes of Ophthalmosaurus measured 220–230 millimetres (8.7–9.1 in) in diameter at the outer margin of the bony sclerotic ring, while the sclerotic aperture itself measured 100 millimetres (3.9 in) in diameter.
<p>

Ophthalmosaurus could likely dive for around 20 minutes. Assuming a conservative cruising speed of 1 metre per second (3.3 ft/s) (2 metres per second (6.6 ft/s) being more likely), Ophthalmosaurus could reach depths of 600 metres (2,000 ft) or more during a dive, reaching the mesopelagic zone. However, while studies on the biomechanics of Ophthalmosaurus suggests that such feats could be physically achieved, studies on the environment of the Peterborough member of the Oxford Clay suggest that Ophthalmosaurus instead inhabited relatively shallow waters there, being determined to have been just 50 metres (160 ft) deep at a distance of 150 kilometres (93 mi) from the shore. ",10,150,https://en.wikipedia.org/wiki/Ophthalmosaurus,no
Plateosaurus,Eurasia,Land,Herbivore,Dinosaur,204,214,33,8800,Triassic,plateosaurus,"Plateosaurus (probably meaning ""broad lizard"", often mistranslated as ""flat lizard"") is a genus of plateosaurid dinosaur that lived during the Late Triassic period, around 214 to 204 million years ago, in what is now Central and Northern Europe. Plateosaurus is a basal (early) sauropodomorph dinosaur, a so-called ""prosauropod"". The type species is Plateosaurus trossingensis; before 2019, that honor was given to Plateosaurus engelhardti, but it was ruled as undiagnostic (i.e. indistinguishable from other dinosaurs) by the ICZN. Currently, there are three valid species; in addition to P. trossingensis, P. longiceps and P. gracilis are also known. However, others have been assigned in the past, and there is no broad consensus on the species taxonomy of plateosaurid dinosaurs. Similarly, there are a plethora of synonyms (invalid duplicate names) at the genus level.
<p>

Discovered in 1834 by Johann Friedrich Engelhardt and described three years later by Hermann von Meyer, Plateosaurus was the fifth named dinosaur genus that is still considered valid. Although it had been described before Richard Owen formally named Dinosauria in 1842, it was not one of the three genera used by Owen to define the group, because at the time, it was poorly known and difficult to identify as a dinosaur. It is now among the dinosaurs best known to science: over 100 skeletons have been found, some of them nearly complete. The abundance of its fossils in Swabia, Germany, has led to the nickname Schwäbischer Lindwurm (Swabian lindworm).
<p>

    Plateosaurus was a bipedal herbivore with a small skull on a long, flexible neck, sharp but plump plant-crushing teeth, powerful hind limbs, short but muscular arms and grasping hands with large claws on three fingers, possibly used for defence and feeding. Unusually for a dinosaur, Plateosaurus showed strong developmental plasticity: instead of having a fairly uniform adult size, fully grown individuals were between 4.8 and 10 metres (16 and 33 ft) long and weighed between 600 and 4,000 kilograms (1,300 and 8,800 lb). Commonly, the animals lived for at least 12 to 20 years, but the maximum life span is not known.

    Despite the great quantity and excellent quality of the fossil material, Plateosaurus was for a long time one of the most misunderstood dinosaurs. Some researchers proposed theories that were later shown to conflict with geological and palaeontological evidence, but have become the paradigm of public opinion. Since 1980 the taxonomy (relationships), taphonomy (how the animals became embedded and fossilised), biomechanics (how their skeletons worked), and palaeobiology (life circumstances) of Plateosaurus have been re-studied in detail, altering the interpretation of the animal's biology, posture and behaviour.",15,210,https://en.wikipedia.org/wiki/Plateosaurus,no
Archaeopteryx,Eurasia,Air,Carnivore,Bird,148,150,1.5,1,Jurassic,archaeopteryx,"Archaeopteryx (/ˌɑːrkiːˈɒptərɪks/; lit. 'old-wing'), sometimes referred to by its German name, ""Urvogel"" (lit. 'Primeval Bird'), is a genus of bird-like dinosaurs. The name derives from the ancient Greek ἀρχαῖος (archaīos), meaning ""ancient"", and πτέρυξ (ptéryx), meaning ""feather"" or ""wing"". Between the late 19th century and the early 21st century, Archaeopteryx was generally accepted by palaeontologists and popular reference books as the oldest known bird (member of the group Avialae). Older potential avialans have since been identified, including Anchiornis, Xiaotingia, and Aurornis.
<p>

Archaeopteryx lived in the Late Jurassic around 150 million years ago, in what is now southern Germany, during a time when Europe was an archipelago of islands in a shallow warm tropical sea, much closer to the equator than it is now. Similar in size to a Eurasian magpie, with the largest individuals possibly attaining the size of a raven, the largest species of Archaeopteryx could grow to about 0.5 m (1 ft 8 in) in length. Despite their small size, broad wings, and inferred ability to fly or glide, Archaeopteryx had more in common with other small Mesozoic dinosaurs than with modern birds. In particular, they shared the following features with the dromaeosaurids and troodontids: jaws with sharp teeth, three fingers with claws, a long bony tail, hyperextensible second toes (""killing claw""), feathers (which also suggest warm-bloodedness), and various features of the skeleton.
<p>
These features make Archaeopteryx a clear candidate for a transitional fossil between non-avian dinosaurs and birds. Thus, Archaeopteryx plays an important role, not only in the study of the origin of birds, but in the study of dinosaurs. It was named from a single feather in 1861, the identity of which has been controversial. That same year, the first complete specimen of Archaeopteryx was announced. Over the years, ten more fossils of Archaeopteryx have surfaced. Despite variation among these fossils, most experts regard all the remains that have been discovered as belonging to a single species, although this is still debated.

Archaeopteryx was long considered to be the beginning of the evolutionary tree of birds. It has qualities that helped define what it is like to be a bird, such as its long, powerful front limbs. However, in recent years, the discovery of several small, feathered dinosaurs has created a mystery for palaeontologists, raising questions about which animals are the ancestors of modern birds and which are their relatives.",12,148,https://en.wikipedia.org/wiki/Archaeopteryx,yes
