occurrence_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,cc,state,county
139295,Theropoda indet.,unranked clade,Theropoda,Hettangian,Sinemurian,201.3,190.8,-72.633331,41.566666,US,Connecticut,
139306,n. gen. Amygdalodon n. sp. patagonicus,species,Amygdalodon patagonicus,Pliensbachian,Early Toarcian,190.8,182,-69.51667,-43.966667,AR,Chubut,
139307,Camarasaurus grandis,species,Camarasaurus grandis,Kimmeridgian,Tithonian,157.3,145,-108.699989,39.068802,US,Colorado,Mesa
139308,Camarasaurus supremus,species,Camarasaurus supremus,Kimmeridgian,,157.3,152.1,-108.717499,39.111668,US,Colorado,Mesa
144308,Theropoda indet.,unranked clade,Theropoda,Puaroan,,148.5,145,174.71666,-37.383331,NZ,Waikato,
149592,n. gen. Creosaurus n. sp. atrox,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.041,41.893101,US,Wyoming,Albany
149596,Creosaurus atrox,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149597,Allosaurus fragilis,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149598,Diplodocus sp.,genus,Diplodocus,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149599,Stegosaurus sp.,genus,Stegosaurus,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149600,Morosaurus grandis,species,Camarasaurus grandis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149601,Antrodemus valens,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.389999,42.035831,US,Wyoming,Converse
149981,n. gen. Scutellosaurus n. sp. lawleri,species,Scutellosaurus lawleri,Sinemurian,Pliensbachian,199.3,182.7,-111.027779,35.679169,US,Arizona,Coconino
149982,Scutellosaurus lawleri,species,Scutellosaurus lawleri,Sinemurian,Pliensbachian,199.3,182.7,-111.073608,35.736668,US,Arizona,
150174,Massospondylus carinatus,species,Massospondylus carinatus,Hettangian,Sinemurian,201.3,190.8,28.623056,-28.509443,ZA,Free State,
150175,Massospondylus sp.,genus,Massospondylus,Hettangian,Sinemurian,201.3,190.8,28.623056,-28.509443,ZA,Free State,
150311,Apatosaurus n. sp. laticollis,species,Apatosaurus louisae,Kimmeridgian,Tithonian,157.3,145,-105.187332,39.653423,US,Colorado,Jefferson
150312,n. gen. Gigantosauropus n. sp. asturiensis,species,Dinosauria,Kimmeridgian,,157.3,152.1,-5.249015,43.498878,ES,Asturias,Gijón
150313,n. gen. Hispanosauropus n. sp. hauboldi,species,Hispanosauropus hauboldi,Kimmeridgian,,157.3,152.1,-5.076468,43.468056,ES,Asturias,Gijón
150314,Hispanosauropus hauboldi,species,Hispanosauropus hauboldi,Kimmeridgian,,157.3,152.1,-5.249015,43.498878,ES,Asturias,Gijón
150350,Diplodocus carnegii,species,Diplodocus carnegii,Kimmeridgian,Tithonian,157.3,145,-105.916199,42.152302,US,Wyoming,Albany
150849,Megalosaurus n. sp. wetherilli,species,Dilophosaurus wetherilli,Sinemurian,Pliensbachian,199.3,182.7,-110.32,36.145279,US,Arizona,Coconino
150850,Megalosaurus wetherilli,species,Dilophosaurus wetherilli,Sinemurian,Pliensbachian,199.3,182.7,-110.300003,36.099998,US,Arizona,Coconino
219971,Diplodocus longus,species,Diplodocus longus,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219972,Morosaurus sp.,genus,Camarasaurus,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219973,Stegosaurus stenops,species,Stegosaurus stenops,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219974,Apatosaurus excelsus,species,Brontosaurus excelsus,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219975,Creosaurus atrox,species,Allosaurus fragilis,Kimmeridgian,Tithonian,157.3,145,-106.048615,42.017776,US,Wyoming,Albany
219978,Diplodocidae indet.,unranked clade,Diplodocidae,Late Kimmeridgian,,155.7,150.8,-108.120003,43.380001,US,Wyoming,Hot Springs
219979,Apatosaurinae indet. informal,unranked clade,Apatosaurinae,Late Kimmeridgian,,155.7,150.8,-108.120003,43.380001,US,Wyoming,Hot Springs
219980,Camarasaurus lentus,species,Camarasaurus lentus,Late Kimmeridgian,,155.7,150.8,-108.120003,43.380001,US,Wyoming,Hot Springs
220033,Syntarsus rhodesiensis,species,Coelophysis rhodesiensis,Hettangian,Sinemurian,201.3,190.8,30.1,-16.216667,ZW,Matabeleland North,Nyamandhlovu
220038,Kotasaurus yamanpalliensis,species,Kotasaurus yamanpalliensis,Sinemurian,Pliensbachian,199.3,182.7,79.845581,19.106924,IN,Andhra Pradesh,
220055,Diplodocus sp.,genus,Diplodocus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220056,Camarasaurus sp.,genus,Camarasaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220057,Stegosaurus sp.,genus,Stegosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220058,Allosaurus sp.,genus,Allosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220059,Camptosaurus sp.,genus,Camptosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220060,Barosaurus sp.,genus,Barosaurus,Late Kimmeridgian,Tithonian,155.7,145,-108.199997,43.630001,US,Wyoming,Hot Spings
220162,Allosaurus sp.,genus,Allosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220163,Diplodocus sp.,genus,Diplodocus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220164,Stegosaurus sp.,genus,Stegosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220165,Dryosaurus sp.,genus,Dryosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220166,Camptosaurus sp.,genus,Camptosaurus,Tithonian,,152.1,145,-109.205833,40.423611,US,Utah,Uintah
220199,Saurischia indet.,unranked clade,Saurischia,Kimmeridgian,Tithonian,157.3,145,-107.13279,35.197208,US,New Mexico,Bernalillo
220200,Allosauridae indet.,family,Allosauridae,Kimmeridgian,Tithonian,157.3,145,-107.13279,35.197208,US,New Mexico,Bernalillo
220201,Diplodocidae indet.,unranked clade,Diplodocidae,Kimmeridgian,Tithonian,157.3,145,-107.13279,35.197208,US,New Mexico,Bernalillo
