occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,protected,cx_int_no,formation,stratgroup,member,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,occurrence_comments,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,paleomodel,paleolng,paleolat,geoplate
139295,occ,25241,,11920,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Hettangian,Sinemurian,201.3,190.8,36780,-72.633331,41.566666,US,Connecticut,,based on political unit,minutes,outcrop,"probably the sandstone quarries at Portland, CT, across the Connecticut River from Middletown (""Middlebury"" originally reported probably in error). Found at a construction site in Newport, RI and traced back to these quarries.",,43,Portland,Agawam,,Portland,Agawam,,formation,,,,,,,,"""Portland Arkose"" originally thought to have been Late Triassic","a reddish brown arkosic sandstone...adhering to the surface of the block are traces of a soft red shale.\r\n""The lower portion of the slab, including the bone casts, consists of planar- laminated, fine- to coarse-grained, arkosic sandstone above which are three graded-bedding sequences. The underlying bed was composed of mud, as indicated by the thin shaly layers adhering to the underside of the slab near the bone casts. A mud lamina is exposed on one side of the slab as well.""",sandstone,"current ripples,planar lamination,fine,coarse,brown,red",lithified,,Y,mudstone,"planar lamination,red",poorly lithified,,Y,"a reddish brown arkosic sandstone...adhering to the surface of the block are traces of a soft red shale.\r\n""The lower portion of the slab, including the bone casts, consists of planar- laminated, fine- to coarse-grained, arkosic sandstone above which are three graded-bedding sequences. The underlying bed was composed of mud, as indicated by the thin shaly layers adhering to the underside of the slab near the bone casts. A mud lamina is exposed on one side of the slab as well.""",sandstone,"current ripples,planar lamination,fine,coarse,brown,red",lithified,,Y,mudstone,"planar lamination,red",poorly lithified,,Y,terrestrial indet.,rift,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2011-07-28 2:09:51,2011-07-27 11:09:59,gp_mid,-9.08,21.08,101
139306,occ,,,11923,n. gen. Amygdalodon n. sp. patagonicus,species,66447,,Amygdalodon patagonicus,,species,66447,Pliensbachian,Early Toarcian,190.8,182,4208,-69.51667,-43.966667,AR,Chubut,,based on nearby landmark,seconds,small collection,"On the E slope of the Sierra Pampa de Agnía, SE of the Cerro Camerón and ca. 8 km WSW of the García Prieto ranch (formerly Gallina ranch) at the source of a tributary of Cañadón Puelman. This ranch is accessible by a trail that is part of La Herrería located on National Route 25, 400 km from Rawson. Coordinates are for the Sierra Pampa de Agnía. SW of Cerro Carnerero, Sierra de Cerro Negro. Listed as Cañadón Puelman, SW from Cerro Carnerero in ref 45986.",,43,Cerro Carnerero,,,Cerro Carnerero,,,bed,,,,,,,,"fossiliferous beds rest on Liassic beds with Harpoceras subplanatum, and below the Middle-Upper Jurassic Porphyritic Series. Called the ""Cerro Carnerero"" beds, which ""include the Bajocian in their base and may extend into the Callovian"". Rauhut (2003) assigned to late Toarcian-early Aalenian interval and Rauhut (2008) assigned the Cerro Carnerero to Toarcian–Bajocian. The age has been recently refined by Pol et al. (2020) to Pliensbachian-early Toarcian","The remains were discovered in a bed of sandy tuff and bluish gray clay, which form part of a continental sedimentary series mixed with porphyritic conglomerates with partly encrusted round pebbles, and bluish gray cineritic clays with sandy intercalations and clays in lesser amounts. (translated from Spanish by M. Carrano)",tuff,,,sandy,Y,claystone,"gray,blue",,,Y,"The remains were discovered in a bed of sandy tuff and bluish gray clay, which form part of a continental sedimentary series mixed with porphyritic conglomerates with partly encrusted round pebbles, and bluish gray cineritic clays with sandy intercalations and clays in lesser amounts. (translated from Spanish by M. Carrano)",tuff,,,sandy,Y,claystone,"gray,blue",,,Y,terrestrial indet.,,,"MLP 46-VIII-21-1/2, posterior dorsal vertebra (lectotype)",14,14,14,M. Carrano,M. Carrano,M. Carrano,2001-09-19 8:56:09,2014-08-26 10:35:54,gp_mid,,,coordinates not computable using this model
139307,occ,34164,,11924,Camarasaurus grandis,species,67181,,Camarasaurus grandis,,species,52961,Kimmeridgian,Tithonian,157.3,145,63746,-108.699989,39.068802,US,Colorado,Mesa,stated in text,4,small collection,"In Redlands SW of Fruita, CO; near base of Serpent's Trail, near E entrance to Colorado NM. Now on private land, S side of No Thoroughfare Canyon, sec 29, T11S, R101W.",NPS,41,Morrison,,Brushy Basin,Morrison,,Brushy Basin,bed,,,,,,,,"described as ""lower Como Beds""","""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,green,,,Y,sandstone,,,,,"""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,green,,,Y,sandstone,,,,,fluvial-lacustrine indet.,,,,14,14,0,M. Carrano,M. Carrano,,2017-11-02 14:56:21,2017-11-02 14:56:21,gp_mid,-43.62,26.5,101
139308,occ,,,11925,Camarasaurus supremus,species,54168,,Camarasaurus supremus,,species,54168,Kimmeridgian,,157.3,152.1,4209,-108.717499,39.111668,US,Colorado,Mesa,based on nearby landmark,seconds,small collection,"2 mi S of Fruita, CO; 100 feet above Riggs Quarry 12; N of mouth of Wedding Canyon",NPS,125,Morrison,,Salt Wash,Morrison,,Salt Wash,bed,,,,,,,,"described as ""upper Como Beds""","""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,"green,red,blue",,,,"""shale""",green,,,Y,"""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,"green,red,blue",,,,"""shale""",green,,,Y,fluvial-lacustrine indet.,,,FMNH P-6641,14,14,14,M. Carrano,M. Carrano,M. Carrano,2001-09-19 9:11:44,2005-11-22 9:28:42,gp_mid,-42.07,26.66,101
144308,occ,,,12585,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Puaroan,,148.5,145,4249,174.71666,-37.383331,NZ,Waikato,,based on nearby landmark,minutes,outcrop,3 km south of the Waikato River on the west coast of North Island. Coordinates for river mouth.,,124,Huriwai Measures,,lower part,Huriwai Measures,,lower part,formation,,,,,,,,,"coarse-grained, gritty, fawn arenite. Other rocks include breccias, conglomerates, and coarse sandstones with thin coals.",sandstone,yellow,,sandy,Y,conglomerate,,,,,"coarse-grained, gritty, fawn arenite. Other rocks include breccias, conglomerates, and coarse sandstones with thin coals.",sandstone,yellow,,sandy,Y,conglomerate,,,,,delta front,,"prograding shoreline backed by coastal braided floodplain with delta. Marine influence stronger in more basal strata, non-marine dominates higher up. Region subject to volcanic ash falls, but far enough away that pyroclastic and lava flows are absent.",AU 13802,14,14,14,M. Carrano,M. Carrano,M. Carrano,2001-11-20 14:20:53,2010-11-08 11:06:26,gp_mid,157.11,-81.29,806
149592,occ,,,13212,n. gen. Creosaurus n. sp. atrox,species,52970,subjective synonym of,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,7813,-106.041,41.893101,US,Wyoming,Albany,stated in text,4,small collection,"SW 1/4 of SW 1/4 of sec. 10, T22N, R77W, Como Bluff, Albany Co., WY",,41,Morrison,,Brushy Basin,Morrison,,Brushy Basin,bed,,,,,,,,"referred to in paper as ""Atlantosaurus Beds"" and ""Como Beds""; upper middle part of formation",,claystone,,,,Y,,,,,,,claystone,,,,Y,,,,,,wet floodplain,,poorly drained floodplain,YPM 1890,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 12:56:29,2014-07-25 16:16:45,gp_mid,-40.48,28.58,101
149596,occ,,,13214,Creosaurus atrox,species,52970,subjective synonym of,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149597,occ,,,13214,Allosaurus fragilis,species,52962,,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149598,occ,,,13214,Diplodocus sp.,genus,38669,,Diplodocus,,genus,38669,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149599,occ,,,13214,Stegosaurus sp.,genus,38814,,Stegosaurus,,genus,38814,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
