occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
149834,occ,,,13263,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Rhaetian,Hettangian,208.5,199.3,4395,-108.930832,38.27861
149988,occ,19972,,13285,Efraasia minor,species,91403,,Efraasia minor,,species,54997,Norian,,228,208.5,19481,8.978333,49.023609
220070,occ,37935,,22680,Plateosaurus trossingensis,species,64679,subjective synonym of,Plateosaurus erlenbergiensis,,species,57402,Norian,,228,208.5,75731,8.016667,47.5
220073,occ,21878,,22680,Liliensternus sp.,genus,55542,,Liliensternus,,genus,55542,Norian,,228,208.5,30215,8.016667,47.5
220082,occ,,,22683,Plateosaurus n. sp. trossingensis,species,64679,subjective synonym of,Plateosaurus erlenbergiensis,,species,57402,Norian,,228,208.5,26308,8.65,48.066669
220084,occ,,,22683,Liliensternus sp.,genus,55542,,Liliensternus,,genus,55542,Norian,,228,208.5,5702,8.65,48.066669
220085,occ,23672,,22684,Gresslyosaurus n. sp. torgeri,species,65095,nomen dubium,Prosauropoda,,unranked clade,38634,Rhaetian,,208.5,201.3,58890,11.073611,51.897499
220087,occ,28163,,22684,Liliensternus sp.,genus,55542,,Liliensternus,,genus,55542,Rhaetian,,208.5,201.3,5702,11.073611,51.897499
229290,occ,,,22682,Pachysaurus ? n. sp. giganteus,species,64744,nomen dubium,Prosauropoda,,unranked clade,38634,Rhaetian,,208.5,201.3,29483,8.65,48.066669
229333,occ,37907,,22706,Theropoda indet.,unranked clade,91970,,Theropoda,,unranked clade,38513,Carnian,Norian,237,208.5,75613,-101.247002,32.1721
255449,occ,19255,I,24798,Eubrontes n. sp. veillonensis,species,96251,,Eubrontes veillonensis,,species,96251,Rhaetian,,208.5,201.3,23532,-1.6702,46.437599
255450,occ,19254,IF,24798,Grallator n. sp. variabilis,species,96249,,Grallator variabilis,,species,96249,Rhaetian,,208.5,201.3,23532,-1.6702,46.437599
255935,occ,18189,I,24834,Coelurosaurichnus perriauxi,species,82507,,Coelurosaurichnus perriauxi,,species,82507,Anisian,Ladinian,247.2,237,17956,4.432778,46.841946
255937,occ,18190,IF,24834,Anchisauripus bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,17957,4.432778,46.841946
256434,occ,,,24877,n. gen. Eoraptor n. sp. lunensis,species,57454,,Eoraptor lunensis,,species,57454,Carnian,,237,228,6971,-68.904999,-31.10111
256435,occ,,,24877,Herrerasaurus ischigualastensis,species,55000,,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,6971,-68.904999,-31.10111
256441,occ,12145,,24878,Herrerasaurus ischigualastensis,species,55000,,Herrerasaurus ischigualastensis,,species,55000,Carnian,,237,228,12426,-68.283333,-30.133333
261810,occ,17808,,25298,n. gen. Agnosphitys n. sp. cromhallensis,species,53365,,Agnosphitys cromhallensis,,species,53365,Rhaetian,,208.5,201.3,7095,-2.428333,51.623055
261854,occ,,,25307,n. gen. Saturnalia n. sp. tupiniquim,species,68124,,Saturnalia tupiniquim,,species,68124,Carnian,Norian,237,208.5,7097,-53.75,-29.666668
269485,occ,,,25836,n. gen. Dimodosaurus n. sp. poligniensis,species,54159,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,23796,5.659798,46.842579
269486,occ,,,25836,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,7187,5.659798,46.842579
277109,occ,,,26452,n. gen. Pisanosaurus n. sp. mertii,species,64409,,Pisanosaurus mertii,,species,64409,Carnian,,237,228,7278,-68,-30
283828,occ,12362,,26998,Plateosaurus longiceps,species,64684,subjective synonym of,Plateosaurus erlenbergiensis,,species,57402,Norian,,228,208.5,12994,-23.513889,71.827499
283829,occ,,,26998,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Norian,,228,208.5,7466,-23.513889,71.827499
283860,occ,38991,,26996,n. gen. Issi n. sp. saaneq,species,443779,,Issi saaneq,,species,443779,Norian,,228,208.5,78483,-22.568611,71.383614
283950,occ,,I,27008,Grallator sp.,genus,64079,,Grallator,,genus,64079,Alaunian,,215.56,212,7466,-22.552778,71.414719
283951,occ,,,27008,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Alaunian,,215.56,212,7466,-22.552778,71.414719
283952,occ,38800,IF,27008,Eosauropus sp.,genus,131584,,Eosauropus,,genus,131584,Alaunian,,215.56,212,78090,-22.552778,71.414719
284027,occ,13156,,27012,Thecodontosaurus n. sp. caducus,species,57689,recombined as,Pantydraco caducus,,species,57689,Rhaetian,,208.5,201.3,10661,-3.373889,51.459999
284031,occ,19701,,27012,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Rhaetian,,208.5,201.3,14199,-3.373889,51.459999
294291,occ,35728,IF,28091,Coelurosaurichnus n. sp. sabinensis,species,68187,,Coelurosaurichnus sabinensis,,species,68187,Late Triassic,,237,201.3,7692,4.616667,47.183334
294292,occ,18187,IF,28092,Coelurosaurichnus sabinensis,species,68187,,Coelurosaurichnus sabinensis,,species,68187,Middle Triassic,,247.2,237,7692,4.47658,46.607204
297315,occ,,I,28462,Coelurosaurichnus perriauxi,species,82507,,Coelurosaurichnus perriauxi,,species,82507,Anisian,Ladinian,247.2,237,7850,4.416667,46.900002
297316,occ,34062,IF,28462,Anchisauripus n. sp. bibractensis,species,92019,,Anchisauripus bibractensis,,species,92019,Anisian,Ladinian,247.2,237,8459,4.416667,46.900002
297867,occ,,I,28614,cf. Grallator sp.,genus,64079,,Grallator,,genus,64079,Norian,,228,208.5,7895,152.907898,-27.607546
360364,occ,,,34132,n. gen. Zupaysaurus n. sp. rougieri,species,54097,,Zupaysaurus rougieri,,species,54097,Norian,,228,208.5,8988,-68.066666,-29.85
363120,occ,,IF,24835,Coelurosaurichnus n. sp. ziegelangernensis,species,85792,,Coelurosaurichnus ziegelangernensis,,species,85792,Carnian,,237,228,40024,10.5,50
364229,occ,,I,34535,Coelurosaurichnus n. sp. informal,genus,68186,,Coelurosaurichnus,,genus,68186,Carnian,,237,228,9115,10.883333,49.883331
364230,occ,,IF,34535,Coelurosaurichnus n. sp. kronbergeri,species,85797,,Coelurosaurichnus kronbergeri,,species,85797,Carnian,,237,228,9115,10.883333,49.883331
366210,occ,12589,,34678,Theropoda indet.,unranked clade,38513,,Theropoda,,unranked clade,38513,Carnian,Rhaetian,237,201.3,13211,-8.85,31.166668
366441,occ,38335,IF,34701,n. gen. Tridactylus n. sp. machouensis,species,436506,,Tridactylus machouensis,,species,436506,Carnian,,237,228,76667,-8.956,31.066999
367667,occ,,,34779,Syntarsus rhodesiensis,species,55541,recombined as,Coelophysis rhodesiensis,,species,55541,Late Triassic,,237,201.3,9278,28.5833,-19.799999
370541,occ,,,35079,Dinosauria indet.,unranked clade,52775,,Dinosauria,,unranked clade,52775,Norian,,228,208.5,9359,-77.327225,39.704445
372891,occ,20922,,35295,n. gen. Blikanasaurus n. sp. cromptoni,species,55644,,Blikanasaurus cromptoni,,species,55644,Norian,Rhaetian,228,201.3,9521,27.616667,-30.566668
378116,occ,,,35708,Euskelosaurus sp.,genus,38640,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,28154,27.6,-30.433332
379967,occ,24531,,35967,Sauropodomorpha indet.,unranked clade,91972,,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,13033,101.75,16.75
381729,occ,,IF,36226,Coelurosaurichnus cf. palyssii,species,371539,"misspelling of, obsolete variant of",Coelurosaurichnus palissyi,,species,92020,Anisian,Ladinian,247.2,237,9714,4.432778,46.841946
381730,occ,,I,36226,Coelurosaurichnus sp.,genus,68186,,Coelurosaurichnus,,genus,68186,Anisian,Ladinian,247.2,237,9714,4.432778,46.841946
384555,occ,19672,,36609,Melanorosaurus readi,species,54980,,Melanorosaurus readi,,species,54980,Norian,Rhaetian,228,201.3,9815,27,-31.233334
384558,occ,,,36610,n. gen. Euskelesaurus n. sp. brownii,species,65484,nomen dubium,Sauropodomorpha,,unranked clade,38633,Norian,Rhaetian,228,201.3,13242,26.616667,-30.950001
385301,occ,,,36704,n. gen. Melanorosaurus n. sp. readi,species,54980,,Melanorosaurus readi,,species,54980,Norian,,228,208.5,9818,27.383329,-30.6
385302,occ,,,36705,Melanorosaurus readi,species,54980,,Melanorosaurus readi,,species,54980,Norian,Rhaetian,228,201.3,9818,27.433332,-30.549999
385604,occ,,,36733,n. gen. Eucnemesaurus n. sp. fortis,species,56614,,Eucnemesaurus fortis,,species,56614,Norian,Rhaetian,228,201.3,14536,28.233334,-28.5
385606,occ,,,36735,Euskelosaurus n. sp. africanus,species,56594,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,,228,208.5,9818,27.4167,-30.5333
385607,occ,,,36735,Plateosaurus n. sp. cullingworthi,species,56591,recombined as,Plateosauravus cullingworthi,,species,56591,Norian,,228,208.5,9818,27.4167,-30.5333
385610,occ,,,36738,Plateosaurus cullingworthi,species,56591,recombined as,Plateosauravus cullingworthi,,species,56591,Norian,Rhaetian,228,201.3,9818,27.233299,-30.700001
385611,occ,,,36739,Plateosaurus n. sp. stormbergensis,species,56604,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,Rhaetian,228,201.3,17006,26.783333,-31.083332
385656,occ,19025,,36610,n. gen. Orinosaurus n. sp. capensis,species,56675,nomen dubium,Prosauropoda,,unranked clade,38634,Norian,Rhaetian,228,201.3,14156,26.616667,-30.950001
405213,occ,,IF,38886,Kayentapus sp.,genus,68970,,Kayentapus,,genus,68970,Rhaetian,Hettangian,208.5,199.3,41099,-111.164169,35.931667
405214,occ,,I,38886,Grallator sp.,genus,64079,,Grallator,,genus,64079,Rhaetian,Hettangian,208.5,199.3,41099,-111.164169,35.931667
405215,occ,,I,38886,Eubrontes sp.,genus,66094,,Eubrontes,,genus,66094,Rhaetian,Hettangian,208.5,199.3,41099,-111.164169,35.931667
405216,occ,,IF,38886,Dilophosauripus sp.,genus,231458,,Dilophosauripus,,genus,231458,Rhaetian,Hettangian,208.5,199.3,41099,-111.164169,35.931667
405217,occ,,IF,38886,Anchisauripus sp.,genus,64083,,Anchisauripus,,genus,64083,Rhaetian,Hettangian,208.5,199.3,41099,-111.164169,35.931667
405220,occ,20949,I,38888,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Rhaetian,Hettangian,208.5,199.3,27985,-111.112221,35.863056
405221,occ,20948,I,38889,Grallator cursorius,species,64080,,Grallator cursorius,,species,64080,Rhaetian,Hettangian,208.5,199.3,27985,-111.112221,35.863056
406872,occ,,,39160,n. gen. Camposaurus n. sp. arizonensis,species,66659,,Camposaurus arizonensis,,species,66659,Norian,,228,208.5,13905,-109.462486,34.43742
461293,occ,39455,,45513,n. gen. Unaysaurus n. sp. tolentinoi,species,62959,,Unaysaurus tolentinoi,,species,62959,Norian,,228,208.5,11929,-53.856945,-29.601389
463421,occ,,,22684,n. gen. Pterospondylus n. sp. trielbae,species,56383,nomen dubium,Ceratosauria,,suborder,90100,Rhaetian,,208.5,201.3,34613,11.073611,51.897499
468605,occ,,I,46555,n. gen. Agialopous n. sp. wyomingensis,species,54519,,Agialopous wyomingensis,,species,54519,Norian,Rhaetian,228,201.3,9241,-108.808891,43.025555
468633,occ,,I,46560,Anomoepus ? sp.,genus,67049,,Anomoepus,,genus,67049,Norian,,228,208.5,12429,-103.350899,36.894199
