occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,protected,cx_int_no,formation,stratgroup,member,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,occurrence_comments,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,paleomodel,paleolng,paleolat,geoplate
139307,occ,34164,,11924,Camarasaurus grandis,species,67181,,Camarasaurus grandis,,species,52961,Kimmeridgian,Tithonian,157.3,145,63746,-108.699989,39.068802,US,Colorado,Mesa,stated in text,4,small collection,"In Redlands SW of Fruita, CO; near base of Serpent's Trail, near E entrance to Colorado NM. Now on private land, S side of No Thoroughfare Canyon, sec 29, T11S, R101W.",NPS,41,Morrison,,Brushy Basin,Morrison,,Brushy Basin,bed,,,,,,,,"described as ""lower Como Beds""","""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,green,,,Y,sandstone,,,,,"""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,green,,,Y,sandstone,,,,,fluvial-lacustrine indet.,,,,14,14,0,M. Carrano,M. Carrano,,2017-11-02 14:56:21,2017-11-02 14:56:21,gp_mid,-43.62,26.5,101
139308,occ,,,11925,Camarasaurus supremus,species,54168,,Camarasaurus supremus,,species,54168,Kimmeridgian,,157.3,152.1,4209,-108.717499,39.111668,US,Colorado,Mesa,based on nearby landmark,seconds,small collection,"2 mi S of Fruita, CO; 100 feet above Riggs Quarry 12; N of mouth of Wedding Canyon",NPS,125,Morrison,,Salt Wash,Morrison,,Salt Wash,bed,,,,,,,,"described as ""upper Como Beds""","""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,"green,red,blue",,,,"""shale""",green,,,Y,"""variegated clays...alternation between green and purplish bands does not mark andy variation in the nature of hardness of these massive joint clays. There are frequent layers of clay nodules, sometimes calcareous, and a few ledges of nodular gray sandstone which are confined to limited areas. Occasional thick ledges of cross-bedded sandstone and lenticular masses of greenish sand occur at almost all levels, but these are likewise of limited extent. Near the top...the clays take on a more sandy nature."" (Riggs 1901)",claystone,"green,red,blue",,,,"""shale""",green,,,Y,fluvial-lacustrine indet.,,,FMNH P-6641,14,14,14,M. Carrano,M. Carrano,M. Carrano,2001-09-19 9:11:44,2005-11-22 9:28:42,gp_mid,-42.07,26.66,101
149592,occ,,,13212,n. gen. Creosaurus n. sp. atrox,species,52970,subjective synonym of,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,7813,-106.041,41.893101,US,Wyoming,Albany,stated in text,4,small collection,"SW 1/4 of SW 1/4 of sec. 10, T22N, R77W, Como Bluff, Albany Co., WY",,41,Morrison,,Brushy Basin,Morrison,,Brushy Basin,bed,,,,,,,,"referred to in paper as ""Atlantosaurus Beds"" and ""Como Beds""; upper middle part of formation",,claystone,,,,Y,,,,,,,claystone,,,,Y,,,,,,wet floodplain,,poorly drained floodplain,YPM 1890,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 12:56:29,2014-07-25 16:16:45,gp_mid,-40.48,28.58,101
149596,occ,,,13214,Creosaurus atrox,species,52970,subjective synonym of,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149597,occ,,,13214,Allosaurus fragilis,species,52962,,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149598,occ,,,13214,Diplodocus sp.,genus,38669,,Diplodocus,,genus,38669,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149599,occ,,,13214,Stegosaurus sp.,genus,38814,,Stegosaurus,,genus,38814,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149600,occ,,,13214,Morosaurus grandis,species,64505,recombined as,Camarasaurus grandis,,species,52961,Kimmeridgian,Tithonian,157.3,145,52556,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,KUVP 1354,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-09-03 15:05:07,gp_mid,-40.71,28.79,101
149601,occ,,,13214,Antrodemus valens,species,64031,subjective synonym of,Allosaurus fragilis,,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,-106.389999,42.035831,US,Wyoming,Converse,based on nearby landmark,seconds,outcrop,"unspecified locality in the Freeze Out Mountains, Converse Co.",FED,41,Morrison,,,Morrison,,,group of beds,,,,,,,,"referred to in text as ""Atlantosaurus Beds"" and ""Como Beds"", and as Lower Cretaceous",,not reported,,,,,,,,,,,not reported,,,,,,,,,,terrestrial indet.,,,,14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-01-29 13:00:06,2014-08-04 9:06:19,gp_mid,-40.71,28.79,101
149981,occ,,,13279,n. gen. Scutellosaurus n. sp. lawleri,species,67088,,Scutellosaurus lawleri,,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405,-111.027779,35.679169,US,Arizona,Coconino,based on nearby landmark,seconds,outcrop,"80 km NE of Flagstaff, AZ, at West Moenkopi Plateau on the Ward Terrace. Within the Navajo Indian Reservation, about 10 km SW of Sand Springs, AZ. Locality is about 0.5 km SE of Rock Head (topographic feature).",,43,Kayenta,Glen Canyon,Silty Facies,Kayenta,Glen Canyon,Silty Facies,bed,,,,,,,,middle part of formation,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",siltstone,,,,Y,sandstone,red,lithified,silty,,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",siltstone,,,,Y,sandstone,red,lithified,silty,,wet floodplain,,"paleoenvironment described as including ""southwestardly flowing rivers, rising from highlands...and meandering across a broad alluvial plain into low-lying marshes.""","MNA P1.175 (= MNA.v.175), almost complete skeleton (holotype)",14,14,14,M. Carrano,M. Carrano,M. Carrano,2002-02-13 13:12:47,2021-08-19 15:16:01,gp_mid,-39.61,14.91,101
